Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2018-10-20 23:14:15, 2018-10-21 08:00:42,92,8.46, :|, Climbing:Worked out,71,0,9

 2018-10-21 23:43:35, 2018-10-22 07:02:45,80,7.19, :(, ??,77,0,8

 2018-10-22 23:28:54, 2018-10-23 06:49:12,80,7.2, :(, ??,75,0,8

 2018-10-23 23:07:30, 2018-10-24 07:20:44,87,8.13, :|, Climbing:Cycled to work:Worked out,95,0,9

 2018-10-24 22:03:49, 2018-10-25 05:58:34,65,7.54, :|, Pole fitness:Worked out,86,0,8

 2018-10-25 22:34:16, 2018-10-26 05:23:01,71,6.48, :|, Away from home,85,0,7

 2018-10-26 23:19:00, 2018-10-27 07:49:16,93,8.3, :|, Drinking alcohol,84,0,9

 2018-10-27 23:13:29, 2018-10-28 07:34:59,95,9.21, :|, ??,90,0,10

 2018-10-28 21:18:10, 2018-10-29 06:17:53,97,8.59, :(, ??,86,741,9

 2018-10-30 22:55:59, 2018-10-31 06:10:05,74,7.14, :(, ??,92,0,8

 2018-11-01 21:50:52, 2018-11-02 06:15:07,81,8.24, :(, ,91,0,9

 2018-11-02 21:54:54, 2018-11-03 07:00:47,96,9.05, :|, Climbing:Pole fitness:Worked out,85,0,10

 2018-11-04 00:06:17, 2018-11-04 07:44:30,79,7.38, :(, Away from home,84,373,8

 2018-11-04 22:59:19, 2018-11-05 07:30:39,92,8.31, :|, ??,97,0,9

 2018-11-05 22:36:02, 2018-11-06 07:00:52,89,8.24, :|, ,83,3176,9

 2018-11-06 22:51:57, 2018-11-07 04:26:59,59,5.35, :|, ,82,2200,6

 2018-11-07 23:52:25, 2018-11-08 06:14:35,67,6.22, :|, Climbing:Pole fitness:Worked out:??,90,0,7

 2018-11-08 23:26:13, 2018-11-09 06:45:15,65,7.19, :|, ,65,0,8

 2018-11-10 01:07:26, 2018-11-10 07:59:55,73,6.52, :|, Away from home:Pole fitness:Totm:Worked out,83,0,7

 2018-11-11 00:38:31, 2018-11-11 08:15:09,76,7.36, :(, Away from home:Drinking alcohol:Totm:??,77,0,8

 2018-11-11 22:31:34, 2018-11-12 07:06:34,87,8.34, :|, ,71,0,9

 2018-11-12 22:32:47, 2018-11-13 07:03:33,92,8.3, :|, ,81,0,9

 2018-11-13 23:38:21, 2018-11-14 07:12:18,83,7.33, :|, Climbing:Worked out:??,83,0,8

 2018-11-14 22:22:00, 2018-11-15 06:52:56,85,8.3, :(, Pole fitness:Worked out,77,0,9

 2018-11-15 23:35:59, 2018-11-16 06:35:09,73,6.59, :|, ??,69,3196,7

 2018-11-16 23:55:19, 2018-11-17 07:44:06,76,7.48, :|, Drinking alcohol:Pole fitness:Worked out,76,73,8

 2018-11-18 02:39:07, 2018-11-18 08:09:50,56,5.3, :|, Climbing:Games night:Worked out,78,0,6

 2018-11-18 23:01:29, 2018-11-19 07:13:11,87,8.11, :|, ,76,4380,9

 2018-11-19 23:20:47, 2018-11-20 07:17:55,81,7.57, :|, ,99,43,8

 2018-11-21 00:22:57, 2018-11-21 07:28:19,69,7.05, :|, Stressful day,86,0,8

 2018-11-21 21:47:25, 2018-11-22 06:30:05,89,8.42, :(, ??,89,0,9

 2018-11-22 23:10:47, 2018-11-23 06:29:59,78,7.19, , ,0,0,8

 2018-11-23 22:48:12, 2018-11-24 06:00:18,78,7.12, :(, Away from home:Stressful day:??,79,0,8

 2018-11-24 23:09:39, 2018-11-25 08:00:49,95,8.51, :|, Away from home,90,0,9

 2018-11-25 22:43:20, 2018-11-26 06:31:00,81,7.47, :|, Away from home,92,0,8

 2018-11-26 23:42:57, 2018-11-27 07:24:07,81,7.41, :|, Stressful day:??,89,0,8

 2018-11-27 23:33:51, 2018-11-28 07:02:32,79,7.28, :|, ,81,0,8

 2018-11-29 01:10:48, 2018-11-29 08:04:55,61,6.54, :(, Drinking alcohol,108,648,7

 2018-11-30 00:21:50, 2018-11-30 06:59:51,73,6.38, :(, Drinking alcohol,79,0,7

 2018-11-30 22:42:46, 2018-12-01 07:36:09,98,8.53, :|, Away from home:Pole fitness,71,0,9

 2018-12-01 22:58:49, 2018-12-02 07:56:18,91,8.57, :|, ,78,0,9

 2018-12-02 23:38:33, 2018-12-03 07:22:31,72,7.43, :|, ??,84,1067,8

 2018-12-03 23:17:00, 2018-12-04 05:30:30,62,6.13, :|, Away from home,87,3160,7

